Postcode,Avg asking price,Avg blended ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¡ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂª/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),Avg yield,3yr,Crime rate,Avg. household income,Social rent
DY2 7,"220,214",195,2,13%,,,21%,152,"35,700",28%
DY2 8,"210,206",214,2,5%,,,9%,155,"36,900",25%
DY2 9,"214,706",203,6,30%,,,20%,95,"34,300",22%
DY3 1,"261,813",217,5,16%,,,1%,109,"36,500",28%
DY3 2,"247,506",251,12,26%,,,7%,108,"37,400",16%
DY3 3,"290,809",282,7,20%,,,10%,43,"40,400",15%
DY3 4,"444,412",327,2,8%,,,13%,177,"46,100",12%
DY4 0,"238,500",213,4,8%,,,8%,107,"35,700",30%
DY4 7,"197,141",209,6,26%,,,18%,141,"39,200",23%
DY4 8,"218,212",199,9,20%,,,-6%,106,"35,700",25%
DY4 9,"226,000",199,2,10%,,,13%,192,"34,500",41%
DY5 1,"174,995",204,3,9%,,,4%,278,"34,100",27%
DY5 2,"243,545",249,9,25%,,,21%,78,"37,600",10%
DY5 3,"209,997",245,9,24%,786,4.50%,24%,139,"37,900",23%
DY5 4,"236,997",218,3,17%,,,5%,105,"35,500",21%
DY6 0,"387,500",306,,,,,,48,"45,800",7%
DY6 7,"315,028",284,7,24%,,,5%,112,"43,100",7%
DY6 8,"260,184",272,7,16%,,,11%,60,"41,300",12%
DY6 9,"338,483",304,6,13%,,,13%,44,"44,300",2%
DY7 5,,328,,,,,,108,"46,600",4%
DY7 6,"447,892",343,5,10%,,,13%,41,"47,200",5%
DY8 1,"262,016",276,9,21%,,,15%,182,"41,700",17%
DY8 2,"485,764",344,3,7%,,,11%,67,"51,000",4%
DY8 3,"323,496",293,10,14%,,,12%,56,"42,300",12%
DY8 4,"281,675",281,9,13%,,,3%,69,"38,400",15%
DY8 5,"253,677",263,11,26%,,,14%,69,"39,200",9%
DY9 0,"545,217",347,13,14%,,,10%,39,"50,200",7%
DY9 7,"289,262",237,4,15%,,,5%,131,"39,900",29%
DY9 8,"226,654",216,3,17%,,,18%,145,"35,100",11%
DY9 9,"422,322",326,5,13%,,,1%,81,"42,800",4%
E1 0,"449,297",616,2,4%,,,53%,136,"53,100",50%
E1 1,"548,958",729,2,6%,"2,235",4.90%,-12%,385,"60,400",26%
E1 2,"522,500",806,,,"2,303",5.30%,-35%,230,"53,500",34%
E1 3,"486,273",659,2,5%,,,-6%,94,"48,600",49%
E1 4,"470,125",663,6,12%,"2,270",5.80%,-1%,184,"50,500",41%
E1 5,"494,973",719,5,11%,,,29%,194,"56,100",46%
E1 6,"660,665",952,4,8%,"2,480",4.50%,80%,757,"60,500",29%
E1 7,"650,000",913,2,6%,,,,523,"70,400",29%
E1 8,"694,295",969,3,3%,"2,487",4.30%,36%,319,"70,000",25%
E10 5,"505,354",581,6,9%,"1,850",4.40%,-8%,203,"53,200",35%
E10 6,"521,694",627,10,17%,"1,795",4.10%,5%,123,"57,300",15%
E10 7,"437,632",570,8,19%,,,25%,154,"52,900",21%
E11 1,"483,787",617,11,26%,"1,724",4.30%,5%,120,"62,700",13%
E11 2,"692,214",694,12,21%,"1,905",3.30%,13%,87,"71,200",5%
E11 3,"572,188",616,8,24%,"1,730",3.60%,6%,94,"58,000",13%
E11 4,"543,714",618,10,31%,"1,748",3.90%,13%,119,"52,800",27%
E12 5,"530,577",521,4,10%,,,7%,119,"50,100",22%
E12 6,"481,719",426,4,14%,"1,777",4.40%,-2%,77,"46,800",20%
E13 0,"390,790",473,5,21%,"1,851",5.70%,23%,91,"47,900",33%
E13 8,"391,519",473,4,11%,"1,772",5.40%,-1%,153,"47,300",36%
E13 9,"443,204",472,4,5%,"2,000",5.40%,44%,183,"48,500",27%
E14 0,"554,785",775,7,4%,"2,540",5.50%,,176,"53,300",24%
E14 2,,587,2,14%,,,,163,"76,800",28%
E14 3,"518,342",659,9,8%,"2,436",5.60%,-4%,115,"71,800",24%
E14 4,"657,000",643,,,,,,"1,868","56,100",24%
E14 6,"400,415",551,6,14%,"2,087",6.30%,20%,156,"47,800",47%
E14 7,"451,207",600,6,7%,"1,970",5.20%,1%,178,"58,500",43%
E14 8,"579,142",730,6,4%,"2,453",5.10%,-1%,138,"59,900",17%
E14 9,"645,728",934,20,4%,"2,507",4.70%,3%,171,"67,700",23%
E15 1,"500,908",639,10,11%,"2,222",5.30%,2%,225,"56,600",28%
E15 2,"447,688",600,5,5%,"2,154",5.80%,167%,157,"61,600",19%
E15 3,"498,645",560,4,8%,,,17%,105,"47,400",34%
E15 4,"468,250",580,6,15%,"1,978",5.10%,4%,179,"53,000",36%
E16 1,"444,552",600,11,5%,"2,015",5.40%,270%,248,"58,200",40%
E16 2,"455,615",575,14,5%,"2,245",5.90%,4550%,218,"59,400",26%
E16 3,"408,400",539,3,9%,"2,098",6.20%,6%,103,"51,100",44%
E16 4,"442,150",532,3,12%,,,-2%,165,"48,500",44%
E17 3,"463,250",625,7,19%,,,6%,136,"51,000",23%
E17 4,"554,147",631,16,25%,"2,142",4.60%,8%,97,"57,000",24%
E17 5,"527,700",639,9,15%,"2,075",4.70%,,96,"53,800",25%
E17 6,"542,451",685,12,25%,"1,954",4.30%,5%,119,"55,300",18%
E17 7,"474,423",697,10,35%,"1,951",4.90%,14%,212,"54,700",18%
E17 8,"542,742",655,8,44%,,,2%,72,"54,700",19%
E17 9,"585,000",723,11,31%,"1,883",3.90%,-1%,141,"56,800",18%
E18 1,"603,928",595,5,16%,"1,612",3.20%,-14%,108,"63,400",8%
E18 2,"492,192",581,11,19%,"1,838",4.50%,-1%,72,"68,400",8%
E1W 1,"907,250",952,,,"2,861",3.80%,,190,"93,000",15%
E1W 2,"858,283","1,169",4,4%,"3,314",4.60%,-56%,137,"82,300",26%
E1W 3,"569,860",743,5,8%,"2,225",4.70%,2%,103,"75,000",33%
E2 0,"509,322",687,6,10%,"2,210",5.20%,17%,167,"52,300",36%
E2 6,"622,847",753,3,7%,"2,219",4.30%,4%,167,"55,000",36%
E2 7,"609,697",806,5,9%,,,-17%,223,"53,700",43%
E2 8,"626,549",865,5,7%,"2,419",4.60%,-30%,175,"56,800",42%
E2 9,"571,224",775,5,11%,"2,449",5.10%,3%,227,"52,200",39%
E3 2,"452,775",670,16,12%,"2,186",5.80%,56%,161,"58,900",35%
E3 3,"383,056",591,8,5%,"2,108",6.60%,125%,202,"50,400",46%
E3 4,"457,321",643,10,12%,"2,238",5.90%,-17%,180,"51,700",38%
E3 5,"505,309",763,7,21%,"2,132",5.10%,5%,116,"58,700",39%
E4 6,"555,827",525,9,12%,,,3%,80,"54,600",21%
E4 7,"586,560",543,11,22%,"2,097",4.30%,8%,91,"53,500",10%
E4 8,"546,709",489,12,24%,,,-1%,173,"52,900",15%
E4 9,"527,845",563,13,23%,,,3%,78,"58,400",15%
E5 0,"757,917",789,6,17%,"2,379",3.80%,8%,123,"54,900",37%
E5 8,"572,828",771,6,11%,"2,165",4.50%,18%,125,"51,000",29%
E5 9,"455,534",664,8,18%,"2,059",5.40%,79%,148,"47,400",43%
E6 1,"383,235",456,2,8%,,,8%,200,"45,200",27%
E6 2,"447,368",456,5,25%,,,1%,121,"48,500",17%
E6 3,"456,500",461,8,24%,,,,79,"48,700",18%
E6 5,"363,190",521,3,9%,,,8%,136,"51,700",37%
E6 6,"327,222",455,2,11%,,,12%,127,"48,900",35%
E7 0,"486,852",592,9,28%,,,-1%,114,"50,800",22%
E7 8,"393,832",461,4,10%,,,11%,115,"47,200",13%
E7 9,"498,704",533,5,17%,"1,684",4.10%,9%,85,"49,800",26%
E8 1,"546,528",803,5,9%,"2,175",4.80%,-18%,253,"56,700",36%
E8 2,"636,379",799,5,11%,"2,237",4.20%,8%,222,"55,300",38%
E8 3,"650,902",861,10,11%,"2,360",4.40%,4%,232,"64,600",40%
E8 4,"562,115",797,3,9%,"2,398",5.10%,23%,171,"58,700",49%
E9 5,"441,742",708,6,12%,"2,264",6.20%,30%,177,"49,200",43%
E9 6,"455,625",684,6,17%,"2,525",6.70%,-23%,202,"49,600",46%
E9 7,"606,500",833,4,10%,"2,064",4.10%,17%,129,"57,600",36%
EC1A 7,,"1,051",2,23%,,,,398,"101,800",3%
EC1M 5,,"1,044",2,17%,,,,353,"64,100",
EC1M 6,,"1,151",,,,,,794,"68,200",7%
EC1N 7,,798,,,,,,89,"54,200",57%
EC1N 8,,917,3,30%,,,,464,"54,100",23%
EC1V 1,"800,972","1,149",,,"3,307",5.00%,-10%,843,"79,400",29%
EC1V 2,"1,148,591","1,291",,,"3,620",3.80%,,568,"58,600",42%
EC1V 3,,993,2,18%,,,-6%,213,"58,500",45%
EC1V 4,,"1,022",3,37%,,,78%,136,"63,600",35%
EC1V 7,"683,210",901,,,,,,109,"62,900",38%
EC1V 8,,,,,,,,221,"58,800",54%
EC1V 9,,,,,,,,415,"57,600",38%
EC1Y 8,,903,2,26%,,,,225,"56,700",46%
EC2A 3,"1,187,857","1,122",2,4%,,,,"1,644","59,600",18%
EC2A 4,"1,086,740",985,2,10%,"3,108",3.40%,,"1,526","58,800",29%
EC2Y 8,"809,205","1,232",3,9%,"2,848",4.20%,365%,63,"101,800",7%
EC4A 1,,"1,187",,,,,,459,"101,800",29%
EN1 1,"446,773",505,8,14%,"1,768",4.70%,-1%,141,"55,100",14%
EN1 2,"569,188",534,5,8%,"1,783",3.80%,-3%,76,"57,800",5%
EN1 3,"501,636",528,7,18%,,,4%,136,"60,000",13%
EN1 4,"394,461",485,6,12%,,,3%,119,"47,900",27%
EN10 6,"384,997",440,10,12%,,,1%,94,"50,000",10%
EN10 7,"783,348",483,4,5%,,,-12%,58,"58,400",2%
EN11 0,"451,619",418,6,18%,,,3%,78,"50,400",22%
EN11 8,"403,141",428,7,10%,"1,329",4.00%,7%,160,"47,500",13%
EN11 9,"471,648",425,7,18%,,,14%,60,"53,900",6%
EN2 0,"490,719",543,6,13%,,,3%,82,"56,500",15%
EN2 6,"582,000",555,4,14%,,,12%,348,"60,200",7%
EN2 7,"681,783",567,6,12%,,,-5%,61,"63,100",8%
EN2 8,"484,895",541,6,8%,"1,513",3.70%,5%,111,"58,600",9%
EN3 4,"364,993",458,4,14%,,,10%,185,"45,400",22%
EN3 5,"401,749",465,6,15%,"1,879",5.60%,1%,136,"45,500",24%
EN3 6,"369,715",448,7,12%,"1,707",5.50%,3%,120,"47,800",15%
EN3 7,"351,678",450,5,25%,,,10%,161,"45,200",20%
EN4 0,"1,505,065",733,3,3%,"3,119",2.50%,14%,97,"58,100",6%
EN4 8,"569,390",588,6,10%,"1,796",3.80%,4%,77,"59,700",7%
EN4 9,"614,195",611,5,10%,,,10%,76,"61,000",15%
EN5 1,"549,297",561,5,8%,,,-9%,85,"61,200",4%
EN5 2,"576,622",602,6,13%,"1,983",4.10%,2%,62,"57,200",15%
EN5 3,"1,217,727",622,,,,,2%,106,"59,400",9%
EN5 4,"758,517",644,6,14%,,,-6%,58,"63,500",7%
EN5 5,"503,747",611,8,9%,"1,548",3.70%,-4%,126,"61,700",9%
EN6 1,"715,014",565,4,7%,"1,619",2.70%,-2%,105,"58,100",5%
EN6 2,"649,758",580,5,11%,,,7%,82,"56,300",8%
EN6 3,"542,076",584,3,10%,,,-24%,133,"59,100",13%
EN6 4,"1,044,940",561,5,4%,,,10%,54,"56,600",4%
EN6 5,"547,874",522,2,4%,,,-7%,126,"51,600",13%
EN7 5,"674,162",509,5,5%,,,,72,"52,000",10%
EN7 6,"538,101",481,8,9%,,,2%,46,"51,900",9%
EN8 0,"410,577",456,7,12%,,,3%,170,"49,200",14%
EN8 7,"311,598",446,5,13%,"1,508",5.80%,9%,178,"48,000",23%
EN8 8,"373,102",462,7,22%,,,1%,97,"49,200",16%
EN8 9,"475,370",466,4,14%,,,8%,98,"48,800",13%
EN9 1,"369,055",430,6,15%,,,-2%,138,"47,100",16%
EN9 2,"687,665",452,2,3%,,,5%,87,"51,300",8%
EN9 3,"505,608",453,8,10%,,,5%,89,"47,800",7%
EX1 1,"371,143",382,2,6%,"1,599",5.20%,41%,404,"45,300",21%
EX1 2,"308,614",315,8,13%,"2,309",9.00%,12%,114,"44,900",22%
EX1 3,"357,689",334,14,11%,"1,417",4.80%,10%,74,"46,900",17%
EX10 0,"426,546",370,3,4%,,,20%,22,"50,000",3%
EX10 8,"483,999",412,8,10%,,,8%,35,"49,300",2%
EX10 9,"468,846",390,8,10%,,,15%,30,"44,000",8%
EX11 1,"484,275",357,9,8%,,,16%,32,"49,400",5%
EX12 2,"314,897",344,8,8%,,,13%,27,"39,300",8%
EX12 3,"518,000",394,,,,,,34,"48,000",7%
EX13 5,"292,737",294,9,16%,,,2%,56,"40,800",6%
EX13 7,"475,896",342,,,,,16%,17,"45,000",5%
EX14 1,"257,032",295,6,10%,,,22%,74,"40,600",15%
EX14 2,"328,718",357,7,14%,,,11%,25,"43,200",7%
EX14 3,"439,222",333,4,9%,,,14%,26,"50,100",7%
EX14 4,"288,143",319,3,14%,,,15%,130,"45,800",6%
EX14 9,"539,000",336,2,5%,,,,31,"46,600",5%
EX15 1,"320,094",284,12,17%,,,17%,57,"46,000",5%
EX15 2,"435,543",314,4,7%,,,-16%,24,"49,700",4%
EX15 3,"463,750",319,4,7%,,,16%,22,"46,300",3%
EX16 4,"357,442",316,4,5%,,,7%,39,"44,000",4%
EX16 5,"294,548",278,5,14%,,,12%,73,"40,000",25%
EX16 6,"247,499",266,7,7%,,,16%,85,"42,900",13%
EX16 7,"534,050",312,4,7%,,,-17%,60,"48,200",5%
EX16 8,"470,517",307,2,4%,,,14%,24,"44,400",2%
EX16 9,"486,848",302,3,6%,,,7%,33,"45,700",4%
EX17 2,,281,2,18%,,,2%,46,"43,300",14%
EX17 3,"301,667",279,5,16%,,,26%,58,"43,700",5%
EX17 4,"533,479",304,2,7%,,,12%,16,"46,700",3%
EX17 5,"354,972",282,3,11%,,,-23%,34,"46,400",5%
EX17 6,"355,914",290,4,7%,,,5%,26,"44,800",5%
EX18 7,"350,888",286,2,4%,,,-15%,27,"42,200",3%
EX19 8,"333,016",294,5,13%,,,22%,23,"42,500",3%
EX2 0,"357,899",368,2,7%,,,,,,
EX2 4,"406,977",404,4,6%,"1,606",4.70%,-1%,59,"54,100",11%
EX2 5,"316,147",343,7,17%,,,7%,48,"49,700",15%
EX2 6,"306,495",350,6,46%,,,11%,61,"47,100",14%
EX2 7,"348,308",336,10,13%,"1,361",4.70%,11%,126,"53,300",15%
EX2 8,"325,754",348,8,13%,,,14%,69,"47,800",7%
EX2 9,"353,387",332,9,21%,,,10%,39,"45,900",9%
EX20 1,"285,967",280,9,9%,,,1%,74,"41,000",7%
EX20 2,"367,350",284,4,7%,,,30%,38,"44,700",3%
EX20 3,"339,920",279,5,6%,,,4%,28,"43,200",4%
EX20 4,"530,500",303,3,8%,,,3%,17,"46,600",2%
EX21 5,"416,138",289,2,3%,,,23%,20,"42,200",3%
EX22 6,"345,433",289,6,7%,,,11%,39,"39,700",6%
EX22 7,"481,679",310,4,5%,,,6%,23,"39,300",3%
EX23 0,"423,613",361,2,4%,,,50%,17,"40,100",6%
EX23 8,"373,294",352,8,13%,,,14%,64,"36,500",15%
EX23 9,"355,988",326,5,6%,,,2%,28,"39,000",4%
EX24 6,"506,661",376,3,6%,,,23%,12,"47,200",7%
EX3 0,"634,553",483,3,4%,,,9%,30,"49,800",4%
EX31 1,"277,157",285,5,15%,,,11%,166,"40,400",10%
EX31 2,"355,589",317,6,9%,,,24%,64,"42,100",7%
EX31 3,"378,096",325,14,13%,,,16%,59,"43,300",5%
EX31 4,"426,998",326,6,7%,,,21%,41,"44,600",6%
EX32 0,"396,914",318,3,5%,,,23%,18,"44,200",3%
EX32 7,"250,245",251,4,10%,,,18%,59,"38,200",6%
EX32 8,"253,443",278,8,17%,,,23%,89,"39,400",17%
EX32 9,"296,131",267,3,6%,,,14%,61,"41,800",8%
EX33 1,"516,186",447,5,6%,,,9%,22,"45,700",2%
EX33 2,"443,968",362,5,8%,,,4%,33,"45,800",9%
EX34 0,"336,415",276,2,4%,,,-6%,22,"39,500",3%
EX34 7,"490,895",437,3,4%,,,7%,42,"47,500",1%
EX34 8,"314,864",277,7,6%,,,7%,43,"37,800",2%
EX34 9,"303,421",255,5,5%,,,45%,72,"35,500",1%
EX35 6,"502,174",340,3,9%,,,-26%,23,"39,500",1%
EX36 3,"387,962",283,3,6%,,,,46,"41,000",3%
EX36 4,"329,685",275,6,13%,,,17%,33,"41,000",4%
EX37 9,"404,140",298,3,5%,,,29%,16,"41,500",3%
EX38 7,"263,818",275,5,15%,,,15%,32,"39,700",5%
EX38 8,"383,386",273,2,3%,,,9%,41,"40,500",2%
EX39 1,"378,098",342,14,8%,,,11%,29,"38,900",6%
EX39 2,"293,546",260,4,6%,,,9%,144,"38,700",5%
EX39 3,"297,286",285,11,8%,,,4%,49,"38,700",6%
EX39 4,"342,002",286,6,5%,,,9%,56,"39,300",6%
EX39 5,"407,717",304,6,5%,,,12%,23,"41,000",6%
EX39 6,"376,068",298,2,7%,,,,19,"41,300",5%
EX4 1,"273,927",312,8,21%,,,11%,57,"45,400",18%
EX4 2,"294,998",329,5,13%,,,11%,41,"45,600",4%
EX4 3,"302,619",323,2,6%,"1,622",6.40%,,589,"38,400",21%
EX4 4,"406,842",350,5,10%,"1,630",4.80%,3%,79,"41,300",9%
EX4 5,"363,747",365,2,7%,,,7%,17,"50,100",2%
EX4 6,"431,912",339,4,8%,"1,684",4.70%,,82,"41,800",10%
EX4 7,"296,938",300,2,11%,"2,467",10.00%,5%,56,"44,700",33%
EX4 8,"323,731",344,5,8%,,,17%,63,"47,800",20%
EX4 9,"292,772",320,4,19%,,,4%,61,"43,300",14%
EX5 1,"411,361",385,3,10%,,,20%,40,"52,700",5%
EX5 2,"437,774",347,3,5%,,,4%,38,"51,700",6%
EX5 3,"413,750",333,2,7%,,,,40,"54,100",14%
EX5 4,"403,478",295,5,19%,,,12%,37,"51,800",7%
EX5 5,"432,308",307,3,28%,,,28%,21,"51,100",7%
EX6 6,"479,997",344,2,7%,,,29%,19,"47,000",6%
EX6 7,"497,333",366,2,8%,,,98%,26,"48,700",5%
EX6 8,"354,658",351,6,9%,"1,113",3.80%,19%,18,"50,200",6%
EX7 0,"372,103",326,9,9%,,,20%,56,"42,400",4%
EX7 9,"298,340",280,8,11%,,,,51,"40,300",9%
EX8 1,"264,040",311,7,9%,,,20%,118,"41,900",4%
EX8 2,"385,856",342,6,5%,,,-3%,49,"42,500",12%
EX8 3,"451,302",362,4,12%,,,5%,35,"46,900",11%
EX8 4,"366,161",371,7,11%,,,16%,35,"45,300",13%
EX8 5,"423,712",378,5,8%,,,12%,29,"49,900",9%
EX9 6,"445,418",398,6,8%,,,-2%,25,"48,500",7%
EX9 7,"439,429",390,2,9%,,,,24,"49,700",7%
FY1 2,"114,871",104,8,15%,,,-14%,315,"30,000",20%
FY1 3,"95,359",93,5,12%,,,-15%,511,"26,700",21%
FY1 4,"136,620",99,7,10%,572,5.00%,16%,431,"28,200",3%
FY1 5,"110,932",112,7,14%,,,-5%,529,"30,000",7%
FY1 6,"118,368",109,8,13%,,,-6%,262,"30,100",6%
FY2 0,"161,941",173,14,13%,,,6%,120,"35,900",18%
FY2 9,"162,242",150,11,12%,,,3%,91,"34,800",2%
FY3 0,"243,743",215,2,8%,,,5%,94,"44,600",5%
FY3 7,"139,480",145,9,15%,,,13%,180,"33,400",23%
FY3 8,"148,336",154,11,18%,,,2%,162,"37,300",6%
FY3 9,"158,128",153,15,20%,,,11%,115,"36,500",2%
FY4 1,"164,097",139,7,7%,562,4.10%,-13%,248,"34,000",4%
FY4 2,"181,919",152,8,15%,,,,121,"35,900",9%
FY4 3,"125,794",139,8,15%,,,5%,130,"34,400",9%
FY4 4,"131,909",153,8,10%,,,3%,220,"32,600",8%
FY4 5,"254,244",209,8,9%,,,-10%,99,"38,000",3%
FY5 1,"199,095",184,10,12%,,,5%,115,"33,400",4%
FY5 2,"212,532",214,14,12%,,,9%,38,"36,700",3%
FY5 3,"184,896",194,16,19%,,,6%,78,"35,700",3%
FY5 4,"172,307",183,10,13%,,,12%,76,"39,600",7%
FY5 5,"230,934",220,4,8%,,,8%,67,"42,200",2%
FY6 0,"231,323",217,10,9%,,,-1%,66,"35,600",2%
FY6 7,"257,158",233,12,6%,850,4.00%,13%,67,"43,200",3%
FY6 8,"335,872",249,3,3%,,,-18%,51,"45,000",11%
FY6 9,"275,575",227,2,3%,,,18%,38,"35,600",2%
FY7 6,"117,746",119,10,9%,616,6.30%,11%,312,"30,400",12%
FY7 7,"133,063",141,6,16%,,,2%,131,"34,300",20%
FY7 8,"210,442",189,8,9%,,,10%,104,"34,400",9%
FY8 1,"278,698",220,14,12%,737,3.20%,5%,111,"40,700",3%
FY8 2,"243,435",221,13,11%,,,11%,129,"38,000",5%
FY8 3,"276,779",236,10,9%,,,13%,56,"42,100",3%
FY8 4,"368,182",278,14,12%,,,11%,45,"45,100",4%
FY8 5,"420,261",304,7,6%,"1,186",3.40%,9%,81,"46,000",8%
GL1 1,"165,865",237,2,7%,830,6.00%,-35%,"1,700","40,300",20%
GL1 2,"183,308",252,3,8%,"1,543",10.10%,8%,517,"41,400",21%
GL1 3,"209,144",254,5,19%,"2,715",15.60%,-13%,265,"45,200",18%
GL1 4,"213,097",211,9,31%,,,15%,184,"37,700",15%
GL1 5,"255,593",254,11,22%,"1,852",8.70%,8%,152,"41,900",23%
GL10 2,"280,932",299,5,23%,,,43%,87,"44,600",13%
GL10 3,"448,152",348,7,9%,,,5%,73,"52,200",11%
GL11 4,"308,155",292,3,8%,,,14%,92,"46,900",9%
GL11 5,"383,748",329,6,11%,,,2%,65,"48,900",9%
GL11 6,"527,231",321,3,17%,,,12%,52,"48,900",2%
GL12 7,"397,857",337,5,20%,,,10%,49,"50,800",2%
GL12 8,"501,539",350,6,12%,,,4%,56,"55,500",7%
GL13 9,"430,116",317,6,10%,,,-6%,64,"51,000",5%
GL14 1,"484,368",301,2,4%,,,36%,46,"49,200",2%
GL14 2,"250,157",249,3,3%,,,7%,102,"39,800",6%
GL14 3,"288,101",269,6,9%,,,13%,88,"39,800",46%
GL15 4,"387,791",326,,,,,5%,66,"44,000",8%
GL15 5,"287,287",292,13,12%,,,9%,103,"41,000",11%
GL15 6,"409,194",306,5,8%,,,19%,55,"45,100",3%
GL16 7,"362,221",305,8,9%,,,9%,57,"40,900",10%
GL16 8,"285,633",285,7,8%,,,14%,122,"40,200",10%
GL17 0,"319,462",284,3,6%,,,13%,65,"44,900",3%
GL17 9,"341,026",281,6,6%,,,11%,55,"43,500",7%
GL18 1,"360,679",289,6,12%,,,16%,94,"46,100",3%
GL19 3,"533,598",338,3,6%,,,2%,34,"50,300",5%
GL19 4,"671,665",363,2,4%,,,-33%,36,"52,500",8%
GL2 0,"359,283",325,13,38%,,,7%,41,"53,100",10%
GL2 2,"304,392",262,11,26%,,,7%,223,"51,900",10%
GL2 4,"254,527",317,25,48%,,,13%,72,"53,400",4%
GL2 5,"421,328",333,2,6%,,,88%,202,"41,900",24%
GL2 7,"534,848",344,4,12%,,,31%,53,"54,700",3%
GL2 8,"496,186",326,3,14%,,,-10%,56,"51,500",6%
GL2 9,"391,311",327,7,13%,,,7%,91,"50,600",5%
GL20 5,"253,060",273,7,10%,,,15%,137,"43,900",14%
GL20 6,"532,143",353,2,5%,,,,53,"44,800",4%
GL20 7,"383,219",326,8,11%,,,12%,63,"50,600",6%
GL20 8,"328,690",307,9,11%,,,15%,70,"49,900",6%
GL3 1,"322,874",317,5,21%,,,4%,72,"52,300",14%
GL3 2,"372,308",342,7,32%,,,4%,40,"53,300",2%
GL3 3,"352,080",317,9,35%,,,11%,42,"49,600",6%
GL3 4,"324,361",300,11,16%,,,10%,110,"50,200",8%
GL4 0,"256,166",290,11,24%,,,7%,116,"42,100",9%
GL4 3,"321,429",321,3,19%,,,20%,201,"50,300",9%
GL4 4,"263,118",303,6,25%,,,2%,71,"50,200",15%
GL4 5,"354,469",331,8,44%,,,7%,28,"53,900",3%
GL4 6,"273,512",264,5,12%,,,11%,158,"40,300",25%
GL4 8,"676,739",376,2,5%,,,,64,"54,100",3%
GL5 1,"330,335",337,6,16%,,,19%,151,"42,800",18%
GL5 2,"444,636",357,3,10%,,,2%,85,"48,900",8%
GL5 3,"331,691",352,4,15%,,,15%,154,"50,800",5%
GL5 4,"332,079",319,8,13%,,,13%,90,"45,100",13%
GL5 5,"542,409",395,2,6%,,,14%,43,"51,500",4%
GL50 1,"306,680",401,2,5%,,,-37%,914,"54,200",5%
GL50 2,"432,995",426,13,14%,"1,213",3.40%,15%,65,"54,000",4%
GL50 3,"318,866",349,6,11%,"1,113",4.20%,38%,343,"51,900",7%
GL50 4,"279,436",324,7,16%,"1,333",5.70%,4%,138,"44,500",8%
GL51 0,"281,529",307,10,27%,,,15%,116,"44,400",8%
GL51 3,"340,250",396,9,27%,,,18%,47,"51,400",4%
GL51 4,"639,333",367,2,10%,,,,60,"47,200",11%
GL51 6,"378,722",384,8,26%,,,3%,68,"51,800",8%
GL51 7,"247,458",294,6,24%,,,8%,194,"42,800",25%
GL51 8,"318,540",315,5,19%,,,7%,155,"48,400",13%
GL51 9,"303,793",323,5,13%,,,10%,197,"46,000",8%
GL52 2,"312,759",363,9,13%,"1,175",4.50%,4%,220,"52,700",10%
GL52 3,"524,190",396,11,29%,,,12%,73,"55,700",6%
GL52 5,"353,554",323,5,14%,,,17%,106,"48,400",20%
GL52 6,"524,118",400,9,10%,,,10%,46,"57,300",4%
GL52 7,"424,279",346,4,15%,,,12%,93,"52,300",7%
GL52 8,"342,224",356,11,25%,,,11%,76,"51,800",7%
GL52 9,"637,750",394,6,23%,,,16%,36,"53,200",4%
GL53 0,"552,975",462,3,18%,,,16%,44,"60,900",3%
GL53 7,"475,346",444,6,11%,,,-26%,97,"58,000",3%
GL53 8,"535,259",436,5,13%,,,6%,84,"59,600",4%
GL53 9,"817,824",474,4,16%,,,22%,35,"60,200",4%
GL54 1,"551,816",455,5,14%,,,640%,74,"49,400",7%
GL54 2,"563,397",408,6,13%,,,15%,70,"55,000",6%
GL54 3,"538,768",416,,,,,29%,57,"52,600",10%
GL54 4,"651,842",424,3,14%,,,34%,75,"55,300",4%
GL54 5,"580,288",402,6,9%,,,10%,47,"51,200",6%
GL55 6,"574,403",445,7,17%,,,11%,88,"48,000",9%
GL56 0,"467,354",389,6,13%,,,18%,94,"48,100",11%
GL56 9,"496,258",432,3,10%,,,43%,47,"47,700",10%
GL6 0,"410,178",378,6,14%,,,3%,69,"48,800",5%
GL6 6,"585,321",400,5,12%,,,-4%,36,"51,700",4%
GL6 7,"794,997",431,,,,,17%,46,"55,700",4%
GL6 8,"473,517",395,4,12%,,,23%,29,"53,900",3%
GL6 9,"527,893",406,3,13%,,,7%,41,"51,600",3%
GL7 1,"365,480",354,12,14%,"1,416",4.60%,8%,102,"47,300",20%
GL7 2,"409,852",393,7,19%,,,-4%,75,"48,500",13%
GL7 3,"583,375",408,5,15%,,,34%,57,"53,000",11%
GL7 4,"456,420",399,4,12%,,,11%,45,"51,700",5%
GL7 5,"468,776",428,7,8%,,,18%,48,"52,900",12%
GL7 6,"581,091",409,3,4%,,,263%,62,"53,400",11%
GL7 7,"599,245",441,2,11%,,,,41,"55,200",11%
GL8 8,"468,673",404,8,9%,,,11%,60,"50,600",6%
GL9 1,"699,445",370,,,,,,31,"51,300",5%
GU1 1,"412,712",476,11,28%,"1,611",4.70%,-5%,130,"64,200",20%
GU1 2,"504,151",551,10,26%,"1,582",3.80%,5%,33,"78,700",5%
