,GSS_CODE,WARD,price,availability_365,reviews_per_month,review_scores_value,count,Houseprice_median,Housesales_median
102,E05000128,Belsize,160.0,199.5,0.605,4.695,128,"980,000",109
103,E05000129,Bloomsbury,174.5,182.0,1.11,4.56,390,"608,750",74
104,E05000130,Camden Town with Primrose Hill,161.0,164.5,1.0550000000000002,4.705,288,"970,000",124
105,E05000131,Cantelowes,139.0,152.0,1.04,4.73,137,"719,870",178
106,E05000132,Fortune Green,95.0,162.5,0.63,4.73,70,"642,500",108
107,E05000133,Frognal and Fitzjohns,150.0,163.0,0.635,4.73,128,"1,300,000",140
108,E05000134,Gospel Oak,145.0,90.0,1.0,4.745,58,"700,000",131
109,E05000135,Hampstead Town,195.0,212.0,0.74,4.73,103,"1,300,000",117
110,E05000136,Haverstock,156.0,126.0,1.0,4.7,130,"697,500",80
111,E05000137,Highgate,145.0,165.0,0.7,4.84,55,"710,000",107
112,E05000138,Holborn and Covent Garden,219.5,190.5,0.875,4.6,540,"900,000",83
113,E05000139,Kentish Town,113.0,84.0,1.08,4.78,93,"657,000",142
114,E05000140,Kilburn,100.0,135.0,1.025,4.68,154,"535,000",90
115,E05000141,King's Cross,121.0,189.0,1.17,4.5,355,"892,994",77
116,E05000142,Regent's Park,125.0,215.0,1.61,4.45,345,"632,500",66
117,E05000143,St. Pancras and Somers Town,137.5,133.0,1.29,4.59,292,"753,300",131
118,E05000144,Swiss Cottage,150.0,160.0,0.97,4.69,153,"802,500",132
119,E05000145,West Hampstead,116.0,144.0,0.64,4.6,125,"744,800",239
120,E05000146,Addiscombe,76.0,229.0,1.4,4.79,79,"369,995",381
121,E05000147,Ashburton,49.0,330.0,0.8,4.83,19,"430,000",128
122,E05000148,Bensham Manor,40.0,295.0,0.46,4.86,35,"340,000",129
123,E05000149,Broad Green,69.0,240.0,0.54,4.42,61,"295,500",184
124,E05000150,Coulsdon East,50.5,185.5,1.4100000000000001,4.855,14,"442,500",167
125,E05000151,Coulsdon West,170.0,268.0,0.5,4.6899999999999995,16,"539,995",261
126,E05000152,Croham,55.0,247.0,1.03,4.85,37,"350,000",275
127,E05000153,Fairfield,107.0,250.0,0.69,4.67,121,"339,000",587
128,E05000154,Fieldway,55.0,363.0,0.08,4.67,3,"294,500",42
129,E05000155,Heathfield,59.5,313.0,0.575,4.75,8,"328,500",194
130,E05000156,Kenley,109.5,186.0,0.36,4.9,8,"430,000",192
131,E05000157,New Addington,44.0,289.0,0.71,4.82,5,"325,000",55
132,E05000158,Norbury,65.0,274.0,0.58,4.68,51,"428,000",133
133,E05000159,Purley,95.0,266.0,0.845,4.8100000000000005,26,"436,350",212
134,E05000160,Sanderstead,62.0,269.0,1.0,4.87,5,"525,000",173
135,E05000161,Selhurst,70.0,231.0,0.7,4.73,47,"300,000",191
136,E05000162,Selsdon and Ballards,67.0,269.0,1.0,4.8,17,"451,500",136
137,E05000163,Shirley,52.0,247.5,0.77,4.855,12,"450,000",146
138,E05000164,South Norwood,85.0,175.0,0.78,4.72,55,"320,000",265
139,E05000165,Thornton Heath,40.5,250.5,0.575,4.75,76,"340,000",193
140,E05000166,Upper Norwood,66.0,178.0,0.515,4.8,62,"414,075",178
141,E05000167,Waddon,80.0,239.5,0.645,4.83,32,"315,000",185
142,E05000168,West Thornton,65.0,269.0,0.26,4.6,25,"330,000",111
143,E05000169,Woodside,65.5,187.5,0.56,4.76,60,"370,000",207
144,E05000170,Acton Central,82.0,257.0,0.79,4.67,149,"557,000",119
145,E05000171,Cleveland,85.0,167.5,0.785,4.8149999999999995,48,"720,000",109
146,E05000172,Dormers Wells,47.0,231.0,2.44,4.51,7,"301,000",41
147,E05000173,Ealing Broadway,119.5,194.0,0.85,4.6850000000000005,90,"650,000",184
148,E05000174,Ealing Common,110.0,203.0,0.6950000000000001,4.76,86,"542,500",84
149,E05000175,East Acton,102.5,208.0,0.62,4.69,204,"476,500",178
150,E05000176,Elthorne,93.0,161.0,0.88,4.84,55,"535,000",140
151,E05000177,Greenford Broadway,69.0,162.5,0.46,4.8149999999999995,20,"308,475",118
152,E05000178,Greenford Green,52.5,151.0,0.9299999999999999,4.82,36,"459,950",93
153,E05000179,Hanger Hill,83.5,203.0,1.02,4.58,60,"611,250",134
154,E05000180,Hobbayne,80.0,163.0,0.78,4.78,43,"500,000",98
155,E05000181,Lady Margaret,65.0,270.0,0.52,4.82,13,"408,500",48
156,E05000182,Northfield,122.0,177.0,0.97,4.9,36,"723,750",142
157,E05000183,North Greenford,60.0,169.0,1.1,4.85,9,"433,750",82
158,E05000184,Northolt Mandeville,72.0,253.5,0.87,4.84,12,"395,000",135
159,E05000185,Northolt West End,46.5,254.5,0.53,4.715,16,"310,000",103
160,E05000186,Norwood Green,84.5,232.5,0.425,4.825,26,"415,000",93
161,E05000187,Perivale,65.0,129.5,1.05,4.79,34,"460,000",93
162,E05000188,South Acton,99.0,243.5,0.84,4.77,136,"590,000",177
163,E05000189,Southall Broadway,90.0,311.0,1.15,4.66,11,"390,000",23
164,E05000190,Southall Green,64.0,186.0,0.33499999999999996,4.8149999999999995,8,"350,000",51
165,E05000191,Southfield,117.0,207.0,0.7,4.75,75,"735,000",151
166,E05000192,Walpole,120.0,156.0,0.65,4.62,59,"740,000",131
167,E05000193,Bowes,70.0,180.0,0.57,4.87,57,"495,000",101
168,E05000194,Bush Hill Park,69.0,229.0,0.79,4.75,11,"518,750",146
169,E05000195,Chase,95.0,237.0,1.3599999999999999,4.85,10,"405,000",124
170,E05000196,Cockfosters,100.0,303.0,0.34,4.8,25,"535,000",243
171,E05000197,Edmonton Green,107.5,191.0,0.675,4.795,26,"274,000",73
172,E05000198,Enfield Highway,95.0,258.0,0.68,4.89,21,"337,000",75
173,E05000199,Enfield Lock,111.0,261.0,0.64,4.77,14,"282,500",146
174,E05000200,Grange,150.0,339.0,0.39,4.6,31,"603,000",148
175,E05000201,Haselbury,50.0,94.0,1.57,4.85,17,"358,500",97
176,E05000202,Highlands,91.0,180.0,0.96,4.83,15,"448,500",178
177,E05000203,Jubilee,31.0,127.0,0.93,4.74,17,"355,000",121
178,E05000204,Lower Edmonton,40.0,240.0,0.93,4.73,15,"347,500",81
179,E05000205,Palmers Green,81.5,177.0,0.98,4.775,34,"500,000",123
180,E05000206,Ponders End,60.0,253.0,1.22,4.83,32,"350,000",98
181,E05000207,Southbury,89.0,281.0,0.64,4.5,21,"380,000",123
182,E05000208,Southgate,60.0,224.5,0.675,4.84,34,"425,000",133
183,E05000209,Southgate Green,87.5,220.5,0.655,4.925,26,"670,000",101
184,E05000210,Town,92.0,307.0,0.3,4.83,19,"488,000",173
185,E05000211,Turkey Street,168.0,261.0,1.1,4.67,9,"360,000",107
186,E05000212,Upper Edmonton,102.5,165.5,1.7149999999999999,4.885,16,"355,000",73
187,E05000213,Winchmore Hill,97.0,106.0,0.66,4.93,14,"561,750",148
188,E05000214,Abbey Wood,77.5,268.5,0.405,4.645,58,"356,000",101
189,E05000215,Blackheath Westcombe,121.0,173.0,0.73,4.83,79,"522,500",169
190,E05000216,Charlton,118.5,198.5,1.03,4.8149999999999995,46,"511,250",100
191,E05000217,Coldharbour and New Eltham,57.5,258.5,0.675,4.93,12,"404,000",148
192,E05000218,Eltham North,55.0,262.0,0.94,4.84,21,"466,500",176
193,E05000219,Eltham South,110.0,138.0,0.56,4.82,17,"375,000",165
194,E05000220,Eltham West,100.0,269.0,0.38,5.0,39,"400,000",136
195,E05000221,Glyndon,104.0,228.0,0.68,4.73,59,"317,000",127
196,E05000222,Greenwich West,110.0,158.0,1.0,4.795,116,"500,000",349
197,E05000223,Kidbrooke with Hornfair,70.0,198.0,0.43,4.75,39,"383,500",128
198,E05000224,Middle Park and Sutcliffe,90.0,258.0,0.89,4.74,23,"380,500",138
199,E05000225,Peninsula,145.0,178.0,0.89,4.75,213,"530,000",669
200,E05000226,Plumstead,39.0,144.0,0.39,4.67,51,"338,000",129
201,E05000227,Shooters Hill,90.0,288.0,0.39,4.88,27,"400,500",132
202,E05000228,Thamesmead Moorings,97.0,262.0,0.47,4.71,93,"276,500",122
203,E05000229,Woolwich Common,81.0,214.0,0.48,4.73,67,"370,000",157
204,E05000230,Woolwich Riverside,120.0,235.5,0.605,4.71,146,"410,000",359
224,E05000250,Addison,135.0,186.0,0.85,4.67,149,"616,800",103
225,E05000251,Askew,112.0,199.0,0.86,4.75,101,"576,000",136
226,E05000252,Avonmore and Brook Green,145.0,155.0,1.07,4.77,127,"610,000",91
227,E05000253,College Park and Old Oak,117.5,182.0,0.965,4.74,90,"530,000",40
228,E05000254,Fulham Broadway,136.0,173.0,0.79,4.67,169,"790,375",220
229,E05000255,Fulham Reach,136.0,166.0,0.68,4.69,107,"930,000",193
230,E05000256,Hammersmith Broadway,142.0,151.0,0.78,4.67,159,"824,995",219
231,E05000257,Munster,155.0,163.0,0.92,4.745,134,"850,000",139
232,E05000258,North End,133.5,140.0,1.145,4.67,206,"575,000",89
233,E05000259,Palace Riverside,155.0,205.5,0.41,4.78,62,"1,017,500",72
234,E05000260,Parsons Green and Walham,195.0,178.0,0.75,4.745,108,"1,082,500",124
235,E05000261,Ravenscourt Park,119.0,161.5,0.76,4.805,82,"901,250",138
236,E05000262,Sands End,180.0,177.0,0.86,4.73,185,"877,475",184
237,E05000263,Shepherd's Bush Green,110.0,181.5,0.915,4.69,230,"565,000",81
238,E05000264,Town,175.0,164.5,0.785,4.705,114,"839,250",116
239,E05000265,Wormholt and White City,93.5,90.0,0.875,4.745,68,"530,000",71
240,E05000266,Alexandra,135.0,166.0,0.55,4.83,41,"936,057",112
241,E05000267,Bounds Green,69.5,161.5,0.835,4.835,50,"500,000",85
242,E05000268,Bruce Grove,63.0,89.0,0.725,4.8149999999999995,50,"498,750",89
243,E05000269,Crouch End,115.0,160.5,0.77,4.81,70,"683,000",132
244,E05000270,Fortis Green,109.0,161.5,0.64,4.865,52,"694,500",134
245,E05000271,Harringay,100.0,176.5,0.84,4.71,104,"625,000",107
246,E05000272,Highgate,110.0,173.0,0.62,4.75,63,"762,498",150
247,E05000273,Hornsey,105.0,143.0,1.08,4.83,45,"530,000",149
248,E05000274,Muswell Hill,115.0,151.0,0.84,4.89,45,"884,206",161
249,E05000275,Noel Park,91.0,168.0,0.82,4.75,81,"450,000",61
250,E05000276,Northumberland Park,122.0,246.0,0.97,4.8,33,"300,250",46
251,E05000277,St. Ann's,90.0,197.0,0.73,4.75,65,"502,000",101
252,E05000278,Seven Sisters,83.0,233.5,1.25,4.74,58,"525,000",56
253,E05000279,Stroud Green,105.0,120.0,0.6,4.87,63,"578,750",120
254,E05000280,Tottenham Green,75.0,172.0,1.05,4.64,145,"390,000",85
255,E05000281,Tottenham Hale,98.5,157.0,1.045,4.78,56,"389,995",81
256,E05000282,West Green,101.0,124.5,0.865,4.845000000000001,48,"465,000",67
257,E05000283,White Hart Lane,105.5,269.5,1.04,4.785,36,"406,650",51
258,E05000284,Woodside,90.0,182.0,0.63,4.86,51,"440,000",101
259,E05000285,Belmont,95.0,336.0,0.78,4.67,11,"580,000",80
260,E05000286,Canons,68.0,264.5,0.7050000000000001,4.8100000000000005,16,"521,250",190
261,E05000287,Edgware,41.5,341.5,0.6,4.55,18,"455,000",65
262,E05000288,Greenhill,89.5,210.5,0.83,4.75,90,"400,000",182
263,E05000289,Harrow on the Hill,91.5,285.5,1.005,4.86,24,"458,500",99
264,E05000290,Harrow Weald,126.5,217.0,0.42,4.84,6,"483,500",72
265,E05000291,Hatch End,51.0,365.0,0.06,3.25,1,"618,000",95
266,E05000292,Headstone North,70.0,162.0,0.42,4.8,13,"600,000",127
267,E05000293,Headstone South,72.0,252.0,1.1,4.73,11,"422,300",89
268,E05000294,Kenton East,120.0,310.0,0.24,4.67,5,"474,000",47
269,E05000295,Kenton West,103.5,170.5,0.25,4.82,6,"595,000",50
270,E05000296,Marlborough,52.0,180.0,0.93,4.88,25,"370,000",81
271,E05000297,Pinner,180.0,88.0,0.5,4.84,7,"600,000",103
272,E05000298,Pinner South,62.0,181.0,0.915,4.855,16,"650,000",124
273,E05000299,Queensbury,77.0,268.0,0.75,4.88,13,"475,000",59
274,E05000300,Rayners Lane,65.0,324.5,0.765,4.8100000000000005,20,"475,000",75
275,E05000301,Roxbourne,101.5,337.5,0.6,4.695,24,"365,000",106
276,E05000302,Roxeth,64.0,153.0,0.63,4.56,11,"446,000",56
277,E05000303,Stanmore Park,115.0,343.0,0.7,4.63,13,"615,000",92
278,E05000304,Wealdstone,45.0,206.5,0.545,4.6899999999999995,10,"437,500",62
279,E05000305,West Harrow,71.5,155.0,1.675,4.82,14,"515,000",92
280,E05000306,Brooklands,69.0,321.0,0.575,4.67,36,"340,000",239
281,E05000307,Cranham,106.0,255.0,1.65,4.43,3,"432,250",156
282,E05000308,Elm Park,108.0,334.5,0.29000000000000004,4.6899999999999995,18,"341,000",171
283,E05000309,Emerson Park,70.0,333.5,0.48,4.82,8,"550,000",172
284,E05000310,Gooshays,85.0,294.0,0.18,4.67,16,"304,000",171
285,E05000311,Hacton,42.5,88.0,0.56,4.835,6,"416,250",160
286,E05000312,Harold Wood,170.0,257.0,0.49,4.56,11,"359,000",310
287,E05000313,Havering Park,100.0,331.0,0.52,4.91,9,"350,000",175
288,E05000314,Heaton,91.0,206.5,0.5499999999999999,4.805,18,"295,000",136
289,E05000315,Hylands,40.0,311.0,0.65,4.57,13,"393,500",184
290,E05000316,Mawneys,36.5,118.5,1.045,4.93,8,"348,975",208
291,E05000317,Pettits,83.0,189.0,0.45,4.8,11,"420,000",166
292,E05000318,Rainham and Wennington,159.0,266.0,0.85,4.7,13,"320,000",159
293,E05000319,Romford Town,125.0,210.0,0.52,4.67,67,"282,000",295
294,E05000320,St. Andrew's,104.0,289.0,0.625,4.71,10,"387,500",184
295,E05000321,South Hornchurch,70.0,259.5,0.6799999999999999,4.95,24,"319,000",177
296,E05000322,Squirrel's Heath,94.0,213.5,0.525,4.98,10,"369,995",239
297,E05000323,Upminster,81.5,223.0,0.205,4.955,6,"537,500",172
298,E05000324,Barnhill,77.0,266.0,0.595,4.79,4,"367,500",68
299,E05000325,Botwell,85.0,177.0,0.99,4.8,29,"355,000",135
300,E05000326,Brunel,61.5,178.5,0.5,4.58,46,"375,000",109
301,E05000327,Cavendish,52.5,173.0,0.745,4.895,12,"516,500",144
302,E05000328,Charville,66.0,331.0,0.5800000000000001,4.859999999999999,10,"409,000",139
303,E05000329,Eastcote and East Ruislip,50.0,173.0,0.94,4.79,7,"615,000",144
304,E05000330,Harefield,74.5,208.0,0.705,4.8,8,"414,000",111
305,E05000331,Heathrow Villages,70.0,343.5,0.49,4.484999999999999,94,"320,000",71
306,E05000332,Hillingdon East,71.0,219.0,0.89,4.71,9,"420,000",136
307,E05000333,Ickenham,59.0,180.0,1.31,4.92,7,"632,500",142
308,E05000334,Manor,140.0,273.5,0.4,4.905,6,"477,500",160
309,E05000335,Northwood,85.0,179.0,0.66,4.96,11,"670,000",133
310,E05000336,Northwood Hills,89.0,151.0,0.46,4.85,15,"557,000",137
311,E05000337,Pinkwell,58.0,291.0,2.0,4.71,29,"400,000",87
312,E05000338,South Ruislip,75.0,269.0,0.57,4.68,25,"412,498",252
313,E05000339,Townfield,58.0,179.0,0.61,4.8,31,"380,000",81
314,E05000340,Uxbridge North,68.5,244.5,0.665,4.85,40,"480,000",183
315,E05000341,Uxbridge South,100.0,264.0,0.85,4.67,33,"327,000",117
316,E05000342,West Drayton,60.0,257.5,0.585,4.7,48,"358,498",308
317,E05000343,West Ruislip,58.0,180.5,0.64,4.93,12,"430,000",230
318,E05000344,Yeading,58.5,149.0,0.355,4.725,10,"370,000",99
319,E05000345,Yiewsley,90.0,260.0,0.65,4.78,39,"331,080",131
320,E05000346,Bedfont,80.0,264.0,1.03,4.82,33,"352,000",108
321,E05000347,Brentford,120.0,184.0,0.84,4.76,125,"500,000",186
322,E05000348,Chiswick Homefields,131.0,174.5,0.845,4.695,62,"918,500",177
323,E05000349,Chiswick Riverside,166.0,153.0,0.61,4.82,49,"740,000",123
324,E05000350,Cranford,66.0,315.5,0.6000000000000001,4.7,16,"357,000",50
325,E05000351,Feltham North,42.5,319.0,1.1600000000000001,4.755,18,"365,000",78
326,E05000352,Feltham West,48.0,251.0,1.07,4.87,16,"300,000",162
327,E05000353,Hanworth,86.5,192.5,0.42,5.0,12,"351,475",84
328,E05000354,Hanworth Park,61.0,214.0,0.52,4.85,32,"329,975",112
329,E05000355,Heston Central,55.0,159.0,0.72,4.78,15,"337,500",133
330,E05000356,Heston East,52.5,284.5,0.5549999999999999,4.675,24,"355,000",63
331,E05000357,Heston West,50.0,240.5,0.825,4.49,10,"387,500",56
332,E05000358,Hounslow Central,88.0,177.0,0.65,4.87,37,"330,000",79
333,E05000359,Hounslow Heath,53.5,267.0,1.0350000000000001,4.67,18,"317,500",76
334,E05000360,Hounslow South,60.0,176.0,1.185,4.82,28,"494,000",99
335,E05000361,Hounslow West,67.5,178.5,1.1,4.725,20,"256,000",208
336,E05000362,Isleworth,93.0,174.0,1.0,4.83,31,"425,000",113
337,E05000363,Osterley and Spring Grove,117.0,238.0,0.61,4.68,52,"399,501",158
338,E05000364,Syon,70.0,166.0,1.3,4.85,49,"430,000",265
339,E05000365,Turnham Green,149.0,177.0,0.81,4.77,83,"772,500",115
340,E05000366,Barnsbury,151.0,154.0,1.24,4.67,154,"800,625",92
341,E05000367,Bunhill,164.0,153.0,0.97,4.7,307,"715,000",121
342,E05000368,Caledonian,124.0,158.0,1.24,4.61,313,"531,000",72
343,E05000369,Canonbury,140.0,157.0,0.81,4.75,103,"730,500",108
344,E05000370,Clerkenwell,183.0,160.0,0.92,4.67,267,"767,500",81
345,E05000371,Finsbury Park,105.0,137.0,0.93,4.67,137,"490,000",98
346,E05000372,Highbury East,143.5,115.0,0.665,4.745,94,"730,000",131
347,E05000373,Highbury West,110.0,214.0,0.69,4.75,115,"598,000",174
348,E05000374,Hillrise,105.0,115.0,0.7,4.795,60,"516,000",68
349,E05000375,Holloway,120.0,214.5,1.01,4.67,134,"485,000",97
350,E05000376,Junction,130.5,167.0,1.0,4.82,58,"512,000",67
351,E05000377,Mildmay,130.0,151.0,0.91,4.76,127,"527,000",119
352,E05000378,St. George's,103.0,195.0,0.67,4.75,91,"545,000",91
353,E05000379,St. Mary's,134.0,144.0,1.01,4.69,135,"770,000",107
354,E05000380,St. Peter's,150.0,130.0,0.94,4.71,151,"767,500",120
355,E05000381,Tollington,105.0,153.0,0.86,4.72,85,"548,224",103
374,E05000400,Alexandra,200.0,294.0,0.76,4.615,14,"553,500",95
375,E05000401,Berrylands,102.5,175.5,0.61,4.83,20,"505,000",141
376,E05000402,Beverley,64.0,258.0,0.5,4.91,27,"550,000",103
377,E05000403,Canbury,135.5,150.0,0.77,4.7,52,"562,500",174
378,E05000404,Chessington North and Hook,100.0,310.0,0.28,4.71,5,"405,000",113
379,E05000405,Chessington South,165.0,302.0,1.26,4.77,11,"383,750",140
380,E05000406,Coombe Hill,103.0,164.0,0.625,4.865,30,"650,000",97
381,E05000407,Coombe Vale,52.0,191.0,0.6000000000000001,4.87,12,"696,500",100
382,E05000408,Grove,105.0,164.0,0.935,4.8,56,"525,000",135
383,E05000409,Norbiton,78.0,215.0,0.97,4.84,37,"450,000",89
384,E05000410,Old Malden,74.5,136.5,0.99,4.905,16,"503,750",108
385,E05000411,St. James,75.0,106.0,0.69,4.8,19,"560,000",67
386,E05000412,St. Mark's,90.0,127.0,0.72,4.87,37,"475,000",170
387,E05000413,Surbiton Hill,89.0,224.0,0.69,4.75,21,"429,250",196
